path	baseline_sha256	source_sha256	i1_output_sha256	final_sha256	i1_origin	final_progression	changed_from_i0_baseline	allowed_candidate
.agents/plugins/README.md	8cab23501dc459f8241ce23b011cc44f11d4866469ac628bdf1a5b99e50497ba	8cab23501dc459f8241ce23b011cc44f11d4866469ac628bdf1a5b99e50497ba	8cab23501dc459f8241ce23b011cc44f11d4866469ac628bdf1a5b99e50497ba	8cab23501dc459f8241ce23b011cc44f11d4866469ac628bdf1a5b99e50497ba	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
.agents/plugins/installation-verification.json	e15c208d2b23a808c13c345afb05532851eb29ddbcd98875df50cd5661b58c97	e15c208d2b23a808c13c345afb05532851eb29ddbcd98875df50cd5661b58c97	e15c208d2b23a808c13c345afb05532851eb29ddbcd98875df50cd5661b58c97	e15c208d2b23a808c13c345afb05532851eb29ddbcd98875df50cd5661b58c97	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
.agents/plugins/marketplace.json	862be98cdfc26d7cdddda1532e453bcc51e3eef698414494b5a0110b9a40a574	862be98cdfc26d7cdddda1532e453bcc51e3eef698414494b5a0110b9a40a574	862be98cdfc26d7cdddda1532e453bcc51e3eef698414494b5a0110b9a40a574	862be98cdfc26d7cdddda1532e453bcc51e3eef698414494b5a0110b9a40a574	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
.gitattributes	7d6ee01d11a84b151fdf96e796df90f82750e807feaabae1c47b9da7795206f0	7d6ee01d11a84b151fdf96e796df90f82750e807feaabae1c47b9da7795206f0	7d6ee01d11a84b151fdf96e796df90f82750e807feaabae1c47b9da7795206f0	7d6ee01d11a84b151fdf96e796df90f82750e807feaabae1c47b9da7795206f0	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
.gitignore	e745ec2836cf45b110bac5ceba73c02434131044f7c8d5d41f441066a1c604ff	e745ec2836cf45b110bac5ceba73c02434131044f7c8d5d41f441066a1c604ff	e745ec2836cf45b110bac5ceba73c02434131044f7c8d5d41f441066a1c604ff	e745ec2836cf45b110bac5ceba73c02434131044f7c8d5d41f441066a1c604ff	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
AGENTS.md	08f88cf5942d09492ff204f9cb6aa9c4d1e1a7d0b684811563d2e45b2531042c	e822a4514fcc03418fe98f4974fdb7f70147d38ee815d92590ec6802d3af39fa	105cf001742480b9f8bc02776675d3baf692c578428d7018191d8f00604bab87	105cf001742480b9f8bc02776675d3baf692c578428d7018191d8f00604bab87	APPLIED_ADJUDICATED	ASTRA_ADJUDICATED_I1_UNCHANGED	yes	yes
CONTEXT.md	e07e3dce5403c3113ef46b05820c040de44458bf2c4006dad03aeefc9c8bf6f4	e07e3dce5403c3113ef46b05820c040de44458bf2c4006dad03aeefc9c8bf6f4	e07e3dce5403c3113ef46b05820c040de44458bf2c4006dad03aeefc9c8bf6f4	e07e3dce5403c3113ef46b05820c040de44458bf2c4006dad03aeefc9c8bf6f4	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
README.md	adc49c1fbbab6ad268df73dd3fccdd45067612bd7f95ffed202b1f9cb49ae4b6	6555f93652ee6abcfded16fbdb1ab1e6a82cb613797b104bc6da495695c05c50	a2dd7a3de5fa63f1e1291c98be0c19b5b4b6b5baf0828349a425acf807e6d4a0	fb25f5ec00fefa9090d27f1dcd9de3aa6ce60a7bdb00a47607341c2109a33226	APPLIED_ADJUDICATED	ASTRA_ADJUDICATED_FINAL_REVIEW_STATUS	yes	yes
cmd/repomesh-coordinator/main.go	f22e5cbdc33fbdb7d12adcf5db04cffc5d1ef54c79888893af35eb5d38b8d284	f22e5cbdc33fbdb7d12adcf5db04cffc5d1ef54c79888893af35eb5d38b8d284	f22e5cbdc33fbdb7d12adcf5db04cffc5d1ef54c79888893af35eb5d38b8d284	f22e5cbdc33fbdb7d12adcf5db04cffc5d1ef54c79888893af35eb5d38b8d284	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
cmd/repomesh-host-executor/main.go	4d4e1e595c4c39f15b55f5ddd641d17e689284ef5b8cd46a094acac377b27479	4d4e1e595c4c39f15b55f5ddd641d17e689284ef5b8cd46a094acac377b27479	4d4e1e595c4c39f15b55f5ddd641d17e689284ef5b8cd46a094acac377b27479	4d4e1e595c4c39f15b55f5ddd641d17e689284ef5b8cd46a094acac377b27479	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
cmd/repomesh-web/main.go	012e3a33ed2bc26a56e39dd0a5699f868efe131469c1ab60540d1e13b95a2783	11612bc8b6e272e5b962fa2558c0691716684c906e328d9cff7de960e3774421	11612bc8b6e272e5b962fa2558c0691716684c906e328d9cff7de960e3774421	11612bc8b6e272e5b962fa2558c0691716684c906e328d9cff7de960e3774421	APPLIED_SOURCE_EXACT	SOURCE_EXACT_UNCHANGED_AFTER_I1	yes	yes
cmd/repomesh-web/main_test.go	67bd62cca72e09513e976983531bd50b71a951c8fb3663ddb93cfdf01f30a374	67bd62cca72e09513e976983531bd50b71a951c8fb3663ddb93cfdf01f30a374	67bd62cca72e09513e976983531bd50b71a951c8fb3663ddb93cfdf01f30a374	67bd62cca72e09513e976983531bd50b71a951c8fb3663ddb93cfdf01f30a374	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
configs/auth.example.json	ef6a9db98df41982242d628404af6d8dc48c1024a10abd41e5cb03f0f0d9d451	ef6a9db98df41982242d628404af6d8dc48c1024a10abd41e5cb03f0f0d9d451	ef6a9db98df41982242d628404af6d8dc48c1024a10abd41e5cb03f0f0d9d451	ef6a9db98df41982242d628404af6d8dc48c1024a10abd41e5cb03f0f0d9d451	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
configs/repomesh.env.example	a251a2ec36230d4428e3838008b1427b24e43a4b774ba8643fe3dd7461982a0c	a251a2ec36230d4428e3838008b1427b24e43a4b774ba8643fe3dd7461982a0c	a251a2ec36230d4428e3838008b1427b24e43a4b774ba8643fe3dd7461982a0c	a251a2ec36230d4428e3838008b1427b24e43a4b774ba8643fe3dd7461982a0c	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
docs/README.md	96d224789bb6f3090ffd3ed64a5798172e6bd9e3c581deded5fbce3ed1482680	96d224789bb6f3090ffd3ed64a5798172e6bd9e3c581deded5fbce3ed1482680	96d224789bb6f3090ffd3ed64a5798172e6bd9e3c581deded5fbce3ed1482680	96d224789bb6f3090ffd3ed64a5798172e6bd9e3c581deded5fbce3ed1482680	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
